0,YCoord,ID,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST,POINT_X,POINT_Y
1,-89.00000000,0,0.018000,0.318426,0.319413,5.949998,5.949998,,-179.000000,-89.000000
2,-89.00000000,0,0.018000,0.318932,0.319627,5.955266,5.955266,,-177.000000,-89.000000
3,-89.00000000,0,0.018000,0.319453,0.319829,5.960113,5.960113,,-175.000000,-89.000000
4,-89.00000000,0,0.018000,0.319974,0.320042,5.965170,5.965170,,-173.000000,-89.000000
5,-89.00000000,0,0.018000,0.320316,0.320192,5.968542,5.968542,,-171.000000,-89.000000
6,-89.00000000,0,0.018000,0.320658,0.320330,5.971703,5.971703,,-169.000000,-89.000000
7,-89.00000000,0,0.018000,0.321179,0.320543,5.976971,5.976971,,-167.000000,-89.000000
8,-89.00000000,0,0.018000,0.321893,0.320863,5.980343,5.980343,,-165.000000,-89.000000
9,-89.00000000,0,0.018000,0.322741,0.321279,5.980132,5.980132,,-163.000000,-89.000000
10,-89.00000000,0,0.018000,0.324006,0.321887,5.979289,5.979289,,-161.000000,-89.000000
11,-89.00000000,0,0.018000,0.325747,0.323049,5.974442,5.974442,,-159.000000,-89.000000
12,-89.00000000,0,0.018000,0.327280,0.324265,5.967699,5.967699,,-157.000000,-89.000000
13,-89.00000000,0,0.018000,0.330390,0.326706,5.953791,5.953791,,-155.000000,-89.000000
14,-89.00000000,0,0.018000,0.332696,0.328540,5.943465,5.943465,,-153.000000,-89.000000
15,-89.00000000,0,0.018000,0.333470,0.329148,5.940094,5.940094,,-151.000000,-89.000000
16,-89.00000000,0,0.018000,0.335479,0.332517,5.915860,5.915860,,-149.000000,-89.000000
17,-89.00000000,0,0.018000,0.336431,0.334244,5.903427,5.903427,,-147.000000,-89.000000
18,-89.00000000,0,0.018000,0.337354,0.335971,5.890784,5.890784,,-145.000000,-89.000000
19,-89.00000000,0,0.018000,0.338783,0.338573,5.871818,5.871818,,-143.000000,-89.000000
20,-89.00000000,0,0.018000,0.340196,0.341174,5.852853,5.852853,,-141.000000,-89.000000
21,-89.00000000,0,0.018000,0.340777,0.342987,5.838945,5.838945,,-139.000000,-89.000000
22,-89.00000000,0,0.018000,0.340345,0.346953,5.804807,5.804807,,-137.000000,-89.000000
23,-89.00000000,0,0.018000,0.338976,0.349544,5.776148,5.776148,,-135.000000,-89.000000
24,-89.00000000,0,0.018000,0.338530,0.350408,5.766455,5.766455,,-133.000000,-89.000000
