0,YCoord,NAME,197902_CHN,197903_HCC,197904_MCC,197907_SWH,197907_WSP,197912_SST
1,-4.52844049,0,0.014751,0.935845,0.202952,3.009935,3.009935,300.143120
2,-14.04628451,0,0.013014,0.702014,0.143159,8.955175,8.955175,300.988809
3,-32.18967468,0,0.015179,0.143581,0.188228,7.194973,7.194973,295.891110
4,-41.41008608,0,0.016778,0.448169,0.165027,2.591221,2.591221,
5,-8.69249725,0,0.014386,0.856175,0.253405,2.560876,2.560876,
6,-36.65116407,0,0.017170,0.210082,0.169292,3.193057,3.193057,
7,-28.32305055,0,0.018000,0.147152,0.087354,2.088426,2.088426,
8,-23.26669591,0,0.018000,0.070176,0.055165,3.855161,3.855161,
9,-23.56412853,0,0.018000,0.154905,0.129192,3.784778,3.784778,
10,1.84873950,0,0.014601,0.628906,0.041369,4.854850,4.854850,301.509658
11,10.72268908,0,0.014817,0.180693,0.082460,6.972445,6.972445,300.974272
12,11.83193277,0,0.014042,0.115115,0.062192,7.359972,7.359972,300.539646
13,20.70588235,0,0.014941,0.064641,0.106844,6.736642,6.736642,298.805656
14,17.00840336,0,0.013845,0.042439,0.080200,7.617902,7.617902,299.673403
15,22.55462185,0,0.014666,0.107824,0.129149,6.606623,6.606623,298.005585
16,22.55462185,0,0.014666,0.107824,0.129149,6.606623,6.606623,298.005585
17,22.55462185,0,0.014666,0.107824,0.129149,6.606623,6.606623,298.005585
18,22.55462185,0,0.014666,0.107824,0.129149,6.606623,6.606623,298.005585
19,22.55462185,0,0.014666,0.107824,0.129149,6.606623,6.606623,298.005585
20,31.42857143,0,0.015210,0.347205,0.100170,6.112679,6.112679,292.434159
21,21.44537815,0,0.015032,0.086128,0.102526,6.740013,6.740013,298.630703
22,30.31932773,0,0.015277,0.284930,0.033234,6.469018,6.469018,292.920418
23,15.52941176,0,0.014690,0.033332,0.072907,7.234800,7.234800,300.158158
24,24.40336134,0,0.014932,0.081083,0.076234,6.116472,6.116472,296.944838
25,33.27731092,0,0.015300,0.382025,0.136016,5.828619,5.828619,292.504842
